NAME,FLOOR__C,ROOM__C,STATUS__C
01-234,1,234,Occupied
01-345,1,345,Available
01-735,1,735,Needing Cleaning
01-187,1,187,Available
01-205,1,205,Needing Cleaning
01-728,1,728,Occupied
01-968,1,968,Occupied
01-276,1,276,Needing Cleaning
01-890,1,890,Occupied
02-176,2,176,Available
02-467,2,467,Needing Cleaning
02-629,2,629,Needing Cleaning
02-187,2,187,Occupied
02-205,2,205,Available
02-728,2,728,Occupied
02-968,2,968,Needing Maintenance
02-276,2,276,Needing Cleaning
02-890,2,890,Occupied
02-735,2,735,Occupied
03-745,3,745,Needing Cleaning
03-345,3,345,Occupied
03-735,3,735,Needing Maintenance
03-187,3,187,Needing Cleaning
03-205,3,205,Available
03-728,3,728,Occupied
03-968,3,968,Needing Cleaning
03-276,3,276,Occupied
03-890,3,890,Available
04-298,4,298,Needing Maintenance
04-345,4,345,Occupied
04-735,4,735,Needing Cleaning
04-187,4,187,Available
04-205,4,205,Needing Maintenance
04-728,4,728,Needing Cleaning
04-968,4,968,Occupied
04-276,4,276,Needing Cleaning
04-890,4,890,Available
05-278,5,278,Needing Maintenance
05-345,5,345,Occupied
05-735,5,735,Available
05-187,5,187,Occupied
05-205,5,205,Needing Cleaning
05-728,5,728,Occupied
05-968,5,968,Needing Cleaning
05-276,5,276,Occupied
05-890,5,890,Needing Cleaning
